,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
9412,Trường Đại học Cần Thơ - Can Tho University,dai hoc can tho can tho university,dai hoc can tho can tho university,Chuyên ngành,chuyen nganh,chuyen nganh
9413,Đại học Thủ Đô Hà Nội,dai hoc thu do ha noi,dai hoc thu do ha noi,Sư phạm tiểu học,su pham tieu hoc,su pham tin hoc
9414,Học viện ngân hàng,hoc vien ngan hang,hoc vien ngan hang,Chuyên ngành Ngân hàng Thương mại,chuyen nganh ngan hang thuong mai,chuyen nganh
9415,Đại học bôn ba bốn biển là nhà,dai hoc bon ba bon bien la nha,dai hoc bon ba bon bien la nha,Chuyên ngành,chuyen nganh,chuyen nganh
9416,thpt krông bông,trung hoc pho thong krong bong,trung hoc pho thong krong bong,thiết kế đồ hoạ,thiet ke do hoa,thiet ke do hoa
9417,HVCT,hvct,hvct,Điện Công Nghiệp,dien cong nghiep,CannotFound
9418,Trường THPT Võ Trường Toản,trung hoc pho thong vo truong toan,trung hoc pho thong vo truong toan,Chuyên ngành,chuyen nganh,chuyen nganh
9419,Trường đại học học viện hàng không,dai hoc hoc vien hang khong,dai hoc hoc vien hang khong,VIỆT NAM HỌC-HƯỚNG DẪN VIÊN DU LỊCH,viet nam hoc huong dan vien du lich,viet nam hoc
9420,Học viện Tài Chính (Academy Of Finance),hoc vien tai chinh,hoc vien tai chinh,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
9421,Trung học cơ sở,trung hoc co so,trung hoc co so,kinh doanh ,kinh doanh,kinh doanh quoc te
9422,Trường Đại học Tài chính - Kế toán,dai hoc tai chinh ke toan,dai hoc tai chinh ke toan,Chuyên ngành,chuyen nganh,chuyen nganh
9423,Viện ĐH Mở Hà Nội,vien dai hoc mo ha noi,vien dai hoc mo ha noi,Ngôn ngữ Anh,ngon ngu anh,ngon ngu anh
9424,trung cấp nghề Hùng Vương,trung cap nghe hung vuong,trung cap nghe hung vuong,sữa chữa máy tính,sua chua may tinh,CannotFound
9425,Đại Học Thương Mại,dai hoc thuong mai,dai hoc thuong mai,Business English,business english,CannotFound
9426,QNU,qnu,qnu,Chuyên ngành,chuyen nganh,chuyen nganh
9427,Dh Qui nhon,dai hoc qui nhon,dai hoc qui nhon,Chuyên ngành,chuyen nganh,chuyen nganh
