,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
879,Đại Học Mở Hà Nội.,dai hoc mo ha noi,dai hoc mo ha noi,Tài chính-Ngân hàng.,tai chinh ngan hang,tai chinh ngan hang
880,trường dạy nghề  Nguyễn Tất Thành TPHCM,day nghe nguyen tat thanh hcm,day nghe nguyen tat thanh hcm,trung cấp kế toán,trung cap ke toan,ke toan
881,trung cấp nghề,trung cap nghe,trung cap nghe,máy tính tin học,may tinh tin hoc,CannotFound
882,Học viện hàng không Việt Nam,hoc vien hang khong viet nam,hoc vien hang khong viet nam,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
883,Trường Đại học Chu Văn An,dai hoc chu van an,dai hoc chu van an,Luật kinh tế hành chính,luat kinh te hanh chinh,luat kinh te
884,trường đại học Mở Tp.Hcm,dai hoc mo hcm,dai hoc mo hcm,tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
885,Trường đại học Y tế công cộng,dai hoc y te cong cong,dai hoc y te cong cong,Truyền thông giáo dục sức khoẻ,truyen thong giao duc suc khoe,CannotFound
886,Thiết Kế đồ Họa,thiet ke do hoa,thiet ke do hoa,Trường Trung Cấp Nghề Kỹ Thuật Công Nghệ Hùng Vương,trung cap nghe ky thuat cong nghe hung vuong,CannotFound
887,đại học thủ đô hà nội,dai hoc thu do ha noi,dai hoc thu do ha noi,trung cấp mầm non,trung cap mam non,CannotFound
888,Đại Học Quốc Tế Hồng bàng,dai hoc quoc te hong bang,dai hoc quoc te hong bang,Quản trị kinh doanh ,quan tri kinh doanh,quan tri kinh doanh
889,Trường Cao đẳng Kinh tế Kỹ thuật Thái Nguyên,cao dang kinh te ky thuat thai nguyen,cao dang kinh te ky thuat thai nguyen,0,0,CannotFound
890,Trường Đại học Thăng Long,dai hoc thang long,dai hoc thang long,Ngôn ngữ anh,ngon ngu anh,ngon ngu anh
891,Trường THPT Lương Thế VInh,trung hoc pho thong luong the vinh,trung hoc pho thong luong the vinh,0,0,CannotFound
892,Đại học Văn Lang,dai hoc van lang,dai hoc van lang,Quan hệ công chúng và truyền thông,quan he cong chung truyen thong,CannotFound
893,Đại học Nha Trang,dai hoc nha trang,dai hoc nha trang,0,0,CannotFound
894,Trường THPT Trần Phú - Kim Long - Châu Đức - BRVT ,trung hoc pho thong tran phu kim long chau duc brvt,trung hoc pho thong tran phu kim long chau duc brvt,0,0,CannotFound
895,Cao đẳng Nghệ thuật Hà Nội,cao dang nghe thuat ha noi,cao dang nghe thuat ha noi,0,0,CannotFound
896,Trường Đại Học Khoa Học Tự Nhiên,dai hoc khoa hoc tu nhien,dai hoc khoa hoc tu nhien,0,0,CannotFound
897,Đại học SPKT Hưng Yên,dai hoc spkt hung yen,dai hoc spkt hung yen,0,0,CannotFound
898,Đại Học Văn Hóa TP.HCM,dai hoc van hoa hcm,dai hoc van hoa hcm,Chuyên ngành : Quản trị dịch vụ và lữ hành,chuyen nganh : quan tri dich vu lu hanh,chuyen nganh
899,Đại học Thủ Dầu một,dai hoc thu dau mot,dai hoc thu dau mot,0,0,CannotFound
900,Đại học Thủ Dầu một,dai hoc thu dau mot,dai hoc thu dau mot,0,0,CannotFound
901,Trường THPT Thủ Đức,trung hoc pho thong thu duc,trung hoc pho thong thu duc,0,0,CannotFound
902,THPT Trần Quốc Toản,trung hoc pho thong tran quoc toan,trung hoc pho thong tran quoc toan,0,0,CannotFound
903,Trường Cao Đẳng Nghề,cao dang nghe,cao dang nghe,Tự Động hoá,tu dong hoa,CannotFound
904,Trường Đại Học Khoa Học Xã Hội Thành phố Hồ Chí Minh,dai hoc khoa hoc xa hoi hcm,dai hoc khoa hoc xa hoi hcm,Báo chí và Truyền thông,bao chi truyen thong,CannotFound
905,THPT Nguyễn Trung Trực,trung hoc pho thong nguyen trung truc,trung hoc pho thong nguyen trung truc,0,0,CannotFound
906,THPT Nguyễn Trung Trực,trung hoc pho thong nguyen trung truc,trung hoc pho thong nguyen trung truc,0,0,CannotFound
907,Trường THPT Định Quán,trung hoc pho thong dinh quan,trung hoc pho thong dinh quan,0,0,CannotFound
908,trung cấp quân y -học viện quân t,trung cap quan y hoc vien quan t,trung cap quan y hoc vien quan t,đại học đại nam chuyên nghành dược sĩ ,dai hoc dai nam chuyen nghanh duoc si,CannotFound
909,Trường Đại Học Mỏ-Địa Chất,dai hoc mo dia chat,dai hoc mo dia chat,Công Nghệ Kỹ Thuật Hóa Học,cong nghe ky thuat hoa hoc,cong nghe ky thuat hoa hoc
910,Đại học Công Nghiệp Hà Nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,Điện ,dien,ky thuat dien
911,Trường THCS Hồng Bàng,trung hoc co so hong bang,trung hoc co so hong bang,0,0,CannotFound
912,Trường Đại Học Mỏ - Địa Chất,dai hoc mo dia chat,dai hoc mo dia chat,Công Nghệ Thông Tin,cong nghe thong tin,cong nghe thong tin
913,thcs nguyễn du,trung hoc co so nguyen du,trung hoc co so nguyen du,học thcs,hoc trung hoc co so,CannotFound
914,Đại học Điện Lực ,dai hoc dien luc,dai hoc dien luc,Kế toán,ke toan,ke toan
915,University of Greenwich,university of greenwich,university of greenwich,0,0,CannotFound
916,University of Economics and Business,university of economics and business,university of economics and business,0,0,CannotFound
917,Ho Chi Minh City University of Transport,hcm university of transport,hcm university of transport,Công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
918,Đại học Quy Nhơn ,dai hoc quy nhon,dai hoc quy nhon,Economics ,economics,kinh te gia dinh
919,University of Hawaii at Monoa,university of hawa 2 at monoa,university of hawa 2 at monoa,0,0,CannotFound
920,Học viện Công nghệ Bưu chính Viễn  thông,hoc vien cong nghe buu chinh vien thong,hoc vien cong nghe buu chinh vien thong,0,0,CannotFound
921,Diplomatic Academy of Vietnam,diplomatic academy of vietnam,diplomatic academy of vietnam,Français des Relations internationales ,francais des relations internationales,CannotFound
922,Đại học Tôn Đức Thắng,dai hoc ton duc thang,dai hoc ton duc thang,0,0,CannotFound
923,Cao Đẳng Kỹ Thuật Cao Thắng ,cao dang ky thuat cao thang,cao dang ky thuat cao thang,0,0,CannotFound
924,Fpt Arena Multimedia Vietnam  ·,fpt arena multimedia vietnam,fpt arena multimedia vietnam,Graphic Design,graphic design,thiet ke do hoa
925,Trường Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,dai hoc ngoai ngu dai hoc quoc gia ha noi,dai hoc ngoai ngu dai hoc quoc gia ha noi,0,0,CannotFound
926,Đại học Nha Trang,dai hoc nha trang,dai hoc nha trang,0,0,CannotFound
927,đại học mỏ địa chất,dai hoc mo dia chat,dai hoc mo dia chat,Địa chất thủy văn,dia chat thuy van,CannotFound
928,cao dang y te thai nguyen,cao dang y te thai nguyen,cao dang y te thai nguyen,dieu duong da khoa,dieu duong da khoa,dieu duong
929,Trường Cao Đẳng Công Nghiệp Hưng Yên,cao dang cong nghiep hung yen,cao dang cong nghiep hung yen,Điện,dien,ky thuat dien
930,Trường Đại Học An Giang,dai hoc an giang,dai hoc an giang,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
931,Trường THPT Trần Biên - Đồng Nai,trung hoc pho thong tran bien dong nai,trung hoc pho thong tran bien dong nai,0,0,CannotFound
932,Trường THPT Trần Biên - Đồng Nai,trung hoc pho thong tran bien dong nai,trung hoc pho thong tran bien dong nai,0,0,CannotFound
933,cao đẳng y te thái nguyên,cao dang y te thai nguyen,cao dang y te thai nguyen,điều dưỡng đa khoa,dieu duong da khoa,dieu duong
934,THPT CUMGAR,trung hoc pho thong cumgar,trung hoc pho thong cumgar,STUDENT,student,CannotFound
935,Trường Đại học Kinh tế - Luật,dai hoc kinh te luat,dai hoc kinh te luat,Luật,luat,luat
936,cao đẳng nghề đồng khởi,cao dang nghe dong khoi,cao dang nghe dong khoi,công nghệ ôtô,cong nghe oto,CannotFound
937,cao đẳng nghề đồng khởi,cao dang nghe dong khoi,cao dang nghe dong khoi,công nghệ ôtô,cong nghe oto,CannotFound
938,Đại Học Kinh Doanh Và Công Nghệ Hà Nội - HUBT,dai hoc kinh doanh cong nghe ha noi hubt,dai hoc kinh doanh cong nghe ha noi hubt,0,0,CannotFound
939,Cao đẳng kỹ thuật Lý Tự Trọng,cao dang ky thuat ly tu trong,cao dang ky thuat ly tu trong,0,0,CannotFound
940,Học viện Tư Pháp,hoc vien tu phap,hoc vien tu phap,lớp đào tạo nghề Luật sư,lop dao tao nghe luat su,CannotFound
941,Trường Đại học Luật tp. Hồ Chí Minh,dai hoc luat hcm,dai hoc luat hcm,Luật học,luat hoc,CannotFound
942,Hanoi University of Technology,hanoi university of technology,hanoi university of technology,0,0,CannotFound
943,Trường Đại học Tài chính,dai hoc tai chinh,dai hoc tai chinh,Marketing Management,marketing management,marketing
944,Trường Đại học Tài chính,dai hoc tai chinh,dai hoc tai chinh,Marketing Management,marketing management,marketing
945,Đại học Kinh tế Quốc dân Hà Nội,dai hoc kinh te quoc dan ha noi,dai hoc kinh te quoc dan ha noi,0,0,CannotFound
946,Đại học Kinh tế Quốc dân Hà Nội,dai hoc kinh te quoc dan ha noi,dai hoc kinh te quoc dan ha noi,0,0,CannotFound
947,Trường THPT Bỉm Sơn,trung hoc pho thong bim son,trung hoc pho thong bim son,0,0,CannotFound
948,Đại học Kiến Trúc Hà Nội,dai hoc kien truc ha noi,dai hoc kien truc ha noi,0,0,CannotFound
949,Đại học Kiến Trúc Hà Nội,dai hoc kien truc ha noi,dai hoc kien truc ha noi,0,0,CannotFound
950,Đại học Bách Khoa TP.HCM,dai hoc bach khoa hcm,dai hoc bach khoa hcm,0,0,CannotFound
951,FPT University,fpt university,fpt university,0,0,CannotFound
952,ttgdtx a ý yên,trung tam giao duc thuong xuyen a y yen,trung tam giao duc thuong xuyen a y yen,thpt,trung hoc pho thong,CannotFound
953,ttgdtx a ý yên,trung tam giao duc thuong xuyen a y yen,trung tam giao duc thuong xuyen a y yen,thpt,trung hoc pho thong,CannotFound
954,ttgdtx a ý yên,trung tam giao duc thuong xuyen a y yen,trung tam giao duc thuong xuyen a y yen,thpt,trung hoc pho thong,CannotFound
955,ttgdtx a ý yên,trung tam giao duc thuong xuyen a y yen,trung tam giao duc thuong xuyen a y yen,thpt,trung hoc pho thong,CannotFound
956,ĐH Khoa Học Tự Nhiên TPHCM,dai hoc khoa hoc tu nhien hcm,dai hoc khoa hoc tu nhien hcm,Hóa Polymer và Composite,hoa polymer composite,CannotFound
957,Đại học Công nghệ Sài Gòn,dai hoc cong nghe sai gon,dai hoc cong nghe sai gon,Công Nghệ Thông Tin,cong nghe thong tin,cong nghe thong tin
958,Trường trung cấp y dược Mêkong,trung cap y duoc mekong,trung cap y duoc mekong,Y sĩ đa khoa định hướng chuyên khoa Y học cổ truyền,y si da khoa dinh huong chuyen khoa y hoc co truyen,y hoc co truyen
959,Công nghệ Tphcm (Hutech),cong nghe hcm,cong nghe hcm,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
960,THPT Nguyễn Thượng Hiền,trung hoc pho thong nguyen thuong hien,trung hoc pho thong nguyen thuong hien,ko,ko,CannotFound
961,THPT Nguyễn Thượng Hiền,trung hoc pho thong nguyen thuong hien,trung hoc pho thong nguyen thuong hien,ko,ko,CannotFound
962,THPT Nguyễn Thượng Hiền,trung hoc pho thong nguyen thuong hien,trung hoc pho thong nguyen thuong hien,ko,ko,CannotFound
963,THPT Nguyễn Thượng Hiền,trung hoc pho thong nguyen thuong hien,trung hoc pho thong nguyen thuong hien,ko,ko,CannotFound
964,THPT Nguyễn Thượng Hiền,trung hoc pho thong nguyen thuong hien,trung hoc pho thong nguyen thuong hien,ko,ko,CannotFound
965,THPT Nguyễn Thượng Hiền,trung hoc pho thong nguyen thuong hien,trung hoc pho thong nguyen thuong hien,ko,ko,CannotFound
966,Đại học Công Nghiệp,dai hoc cong nghiep,dai hoc cong nghiep,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
967,Đại học kinh tế,dai hoc kinh te,dai hoc kinh te,Chứng chỉ kế toán trưởng,chung chi ke toan truong,CannotFound
968,ĐẠI HỌC TÀI CHÍNH MARKETING TPHCM,dai hoc tai chinh marketing hcm,dai hoc tai chinh marketing hcm,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
969,TRUNG TÂM KINH TẾ TOÀN CẦU ĐẠI HỌC KINH TẾ TPHCM,trung tam kinh te toan cau dai hoc kinh te hcm,trung tam kinh te toan cau dai hoc kinh te hcm,Chuyên viên xuất nhập khẩu-hải quan,chuyen vien xuat nhap khau hai quan,CannotFound
970,trường Đại Học Bách Khoa Đà Nẵng,dai hoc bach khoa da nang,dai hoc bach khoa da nang,Công Nghệ Môi Trường,cong nghe moi truong,cong nghe ky thuat moi truong
971,Đại học Khoa học Tự nhiên - Đại học Quốc gia Hà Nội,dai hoc khoa hoc tu nhien dai hoc quoc gia ha noi,dai hoc khoa hoc tu nhien dai hoc quoc gia ha noi,Kỹ thuật Địa chất,ky thuat dia chat,ky thuat dia chat
972,Trường Nguyễn Huệ,nguyen hue,nguyen hue,tiểu học và trung học,tieu hoc trung hoc,CannotFound
973,Trường Đại Học Nguyễn Tất Thành,dai hoc nguyen tat thanh,dai hoc nguyen tat thanh,Tài Chính- Ngân Hàng,tai chinh ngan hang,tai chinh ngan hang
974,Học Viện Tài Chính,hoc vien tai chinh,hoc vien tai chinh,Kế toán,ke toan,ke toan
975,Cao đẳng Cộng Đồng Hà Nội,cao dang cong dong ha noi,cao dang cong dong ha noi,Kế Toán,ke toan,ke toan
976,Viện Đại học Mở Hà Nội,vien dai hoc mo ha noi,vien dai hoc mo ha noi,Ngôn ngữ Anh,ngon ngu anh,ngon ngu anh
977,đại học sư phạm kỹ thuật hưng yên,dai hoc su pham ky thuat hung yen,dai hoc su pham ky thuat hung yen,điện tử công nghiệp,dien tu cong nghiep,CannotFound
978,Đại học Kinh tế Quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Quản trị Kinh doanh Công nghiệp ,quan tri kinh doanh cong nghiep,quan tri kinh doanh
979,Trường ĐH Giao Thông Vân Tải TP.HCM,dai hoc giao thong van tai hcm,dai hoc giao thong van tai hcm,Cơ Khí Ô Tô,co khi o to,CannotFound
980,Đại Học Công Nghiệp Hà Nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,Kế Toán,ke toan,ke toan
981, Đại học trực tuyến FUNiX,dai hoc truc tuyen funix,dai hoc truc tuyen funix,Software Engineering ,software engineering,CannotFound
982,Đại học Hàng Hải,dai hoc hang hai,dai hoc hang hai,Chuyên ngành Kinh Tế Vận Tải Biển ( Economics of Sea Transport ),chuyen nganh kinh te van tai bien,kinh te van tai
983,Trung học phổ thông B Phủ Lý,trung hoc pho thong b phu ly,trung hoc pho thong b phu ly,0,0,CannotFound
984,Đại học Công Đoàn,dai hoc cong doan,dai hoc cong doan,Quản trị Nhân lực,quan tri nhan luc,quan tri nhan luc
985,THPT Hòa Đa,trung hoc pho thong hoa da,trung hoc pho thong hoa da,Khoa học máy tính,khoa hoc may tinh,khoa hoc may tinh
986,Đại học Tôn Đức Thắng,dai hoc ton duc thang,dai hoc ton duc thang,Khoa học máy tính,khoa hoc may tinh,khoa hoc may tinh
987,ĐH Công Nghiệp TPHCM,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,0,0,CannotFound
988, Đại Học Thương Mại,dai hoc thuong mai,dai hoc thuong mai,0,0,CannotFound
989,Đại học thương mại,dai hoc thuong mai,dai hoc thuong mai,Kế Toán,ke toan,ke toan
990,Học viện Thanh thiếu niên Việt Nam,hoc vien thanh thieu nien viet nam,hoc vien thanh thieu nien viet nam,0,0,CannotFound
991,Trường Đại học Khoa học Xã hội và Nhân văn ,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van,0,0,CannotFound
992,Trường Đại học Khoa học Xã hội và Nhân văn ,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van,0,0,CannotFound
993, THPT Chuyên Thái Nguyên,trung hoc pho thong chuyen thai nguyen,trung hoc pho thong chuyen thai nguyen,0,0,CannotFound
994,Đại học Xây Dựng,dai hoc xay dung,dai hoc xay dung,Civil Engineering + Information Technology,civil engineering + information technology,cong nghe thong tin
995,Trường Đại học Nội vụ Hà Nội ,dai hoc noi vu ha noi,dai hoc noi vu ha noi,0,0,CannotFound
996, THPT Nam Sách,trung hoc pho thong nam sach,trung hoc pho thong nam sach,0,0,CannotFound
997,Cao Đẳng Văn Hoá Nghệ Thuật TP.HCM,cao dang van hoa nghe thuat hcm,cao dang van hoa nghe thuat hcm,0,0,CannotFound
998,Kent International College,kent international college,kent international college,Marketing Management,marketing management,marketing
999,Saxion Hogeschool,saxion hogeschool,saxion hogeschool,İnternational Business,international business,kinh doanh quoc te
1000,Trường cao đẳng sư phạm Kontum ,cao dang su pham kontum,cao dang su pham kontum,0,0,CannotFound
1001,THPT trung tâm giáo dục thường xuyên Kon Tum ,trung hoc pho thong trung tam giao duc thuong xuyen kon tum,trung hoc pho thong trung tam giao duc thuong xuyen kon tum,0,0,CannotFound
1002,Cao đẳng Kinh tế - Công nghệ Tp.HCM,cao dang kinh te cong nghe hcm,cao dang kinh te cong nghe hcm,Quản trị văn phòng,quan tri van phong,quan tri van phong
1003,"Hanoi University of Science , VNU",hanoi university of science vnu,hanoi university of science vnu,Faculty of Mathematics Mechanics Informatics,faculty of mathematics mechanics informatics,CannotFound
1004,"Moscow State University of Economics, Statistics, and Informatics",moscow state university of economics statistics and informatics,moscow state university of economics statistics and informatics,Informatics Applications in Economics,informatics applications in economics,CannotFound
1005,Plekhanov Russian University of Economics,plekhanov russian university of economics,plekhanov russian university of economics,Informatics Applications in Management,informatics applications in management,CannotFound
1006,Học viện Cảnh sát nhân dân Việt Nam ,hoc vien canh sat nhan dan viet nam,hoc vien canh sat nhan dan viet nam,Luật ,luat,luat
1007,Đại Học Sư Phạm Kỹ Thuật Tp HCM,dai hoc su pham ky thuat hcm,dai hoc su pham ky thuat hcm,"công nghệ kỹ thuật điện, điện tử",cong nghe ky thuat dien dien tu,cong nghe ky thuat dien dien tu
1008,Cao đẳng kỹ thuật Cao Thắng,cao dang ky thuat cao thang,cao dang ky thuat cao thang,Tự động hoá,tu dong hoa,CannotFound
1009,Đại học công nghệ TPHCM ( Hutech),dai hoc cong nghe hcm,dai hoc cong nghe hcm,Điện công nghiệp,dien cong nghiep,CannotFound
1010,Trường Đại học Công nghiệp Hà Nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,Công nghệ kỹ thuật ô tô,cong nghe ky thuat o to,cong nghe ky thuat o to
1011,ĐẠI HỌC NGOẠI THƯƠNG,dai hoc ngoai thuong,dai hoc ngoai thuong,0,0,CannotFound
1012,Đại học Tài Chính ,dai hoc tai chinh,dai hoc tai chinh,Marketing,marketing,marketing
1013,Trường THPT Hà Huy Tập - Hà Tĩnh,trung hoc pho thong ha huy tap ha tinh,trung hoc pho thong ha huy tap ha tinh,0,0,CannotFound
1014,Hanoi Architectural University ,hanoi architectural university,hanoi architectural university,0,0,CannotFound
1015,Trường THPT Phan Thanh Giản,trung hoc pho thong phan thanh gian,trung hoc pho thong phan thanh gian,0,0,CannotFound
1016,Trường THPT Phan Thanh Giản,trung hoc pho thong phan thanh gian,trung hoc pho thong phan thanh gian,0,0,CannotFound
1017,Thang Long University,thang long university,thang long university,Social work,social work,CannotFound
1018,Đại học Cần Thơ,dai hoc can tho,dai hoc can tho,kinh tế ngoại thương,kinh te ngoai thuong,CannotFound
1019,Đại học Hà Nội,dai hoc ha noi,dai hoc ha noi,0,0,CannotFound
1020,Đại học Kinh tế Quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Quản trị kinh doanh tổng hợp,quan tri kinh doanh tong hop,quan tri kinh doanh
1021,Học Viện Công Nghệ Bưu Chính Viễn Thông,hoc vien cong nghe buu chinh vien thong,hoc vien cong nghe buu chinh vien thong,0,0,CannotFound
1022,Banking University HCMC,banking university hcm,banking university hcm, Business Administration ,business administration,quan tri kinh doanh
1023,Trường cao đẳng kinh tế- kỹ thuật Thành Phố Hồ Chí Minh,cao dang kinh te ky thuat hcm,cao dang kinh te ky thuat hcm,Công nghệ may & Thiết kế thời trang,cong nghe may thiet ke thoi trang,thiet ke thoi trang
1024,trường đại học Công Nghiệp Tp.Hcm,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
1025,ĐH Công Nghiệp TP HCM,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
1026,trung hoc co so thuan hoa,trung hoc co so thuan hoa,trung hoc co so thuan hoa,nhieu,nhieu,CannotFound
1027,trung hoc co so thuan hoa,trung hoc co so thuan hoa,trung hoc co so thuan hoa,nhieu,nhieu,CannotFound
1028,trung hoc co so thuan hoa,trung hoc co so thuan hoa,trung hoc co so thuan hoa,nhieu,nhieu,CannotFound
1029,Trường Đại học Công Nghiệp Thực Phẩm Tp.HCM,dai hoc cong nghiep thuc pham hcm,dai hoc cong nghiep thuc pham hcm,Thủy Sản,thuy san,CannotFound
1030,THCS PHÚ ĐÔNG,trung hoc co so phu dong,trung hoc co so phu dong,sửa phần mềm máy tính,sua phan mem may tinh,CannotFound
1031,THCS PHÚ ĐÔNG,trung hoc co so phu dong,trung hoc co so phu dong,sửa phần mềm máy tính,sua phan mem may tinh,CannotFound
1032,Đại học sư phạm kỹ thuật TP HCM,dai hoc su pham ky thuat hcm,dai hoc su pham ky thuat hcm,Công nghệ kỹ thuật nhiệt,cong nghe ky thuat nhiet,cong nghe ky thuat nhiet
1033,Đại học giao thông vận tải Hà Nội,dai hoc giao thong van tai ha noi,dai hoc giao thong van tai ha noi,Kỹ thuật viễn thông,ky thuat vien thong,ky thuat dien tu vien thong
1034,đào tạo bếp vàng,dao tao bep vang,dao tao bep vang,đồ uống,do uong,CannotFound
1035,Học viện Công nghệ Bưu chính Viễn thông,hoc vien cong nghe buu chinh vien thong,hoc vien cong nghe buu chinh vien thong,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
1036,cao đẳng giao thông vận tải,cao dang giao thong van tai,cao dang giao thong van tai,xây dựng,xay dung,quan ly xay dung
1037,Truờng ĐH Sư Phạm Kỹ Thuật TP. Hồ Chí Minh,dai hoc su pham ky thuat hcm,dai hoc su pham ky thuat hcm,Cơ Điện Tử,co dien tu,ky thuat co dien tu
1038,Asia E University,asia e university,asia e university,Công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
1039,đại học Nông Lâm TP.HCM,dai hoc nong lam hcm,dai hoc nong lam hcm,Quản lý đất đai và bđs,quan ly dat dai bds,quan ly dat dai
1040,Cao Đẳng nghề Du lịch Sài Gòn,cao dang nghe du lich sai gon,cao dang nghe du lich sai gon,Quản trị lữ hành,quan tri lu hanh,CannotFound
1041,trung cấp pccc,trung cap pccc,trung cap pccc,phòng cháy chữa cháy,phong chay chua chay,phong chay chua chay cuu nan cuu ho
1042,Cao đẳng công nghệ Viettronic,cao dang cong nghe viettronic,cao dang cong nghe viettronic,Công nghệ kỹ thuật điều khiển và tự động hoá,cong nghe ky thuat dieu khien tu dong hoa,cong nghe ky thuat dieu khien tu dong hoa
1043,Cao đẳng công nghệ Viettronic,cao dang cong nghe viettronic,cao dang cong nghe viettronic,Điện công nghiệp và dân dụng,dien cong nghiep dan dung,CannotFound
1044,tiếng hàn sejong,tieng han sejong,tieng han sejong,tiếng hàn,tieng han,CannotFound
1045,trường đại học kinh tế kỹ thuật công nghiệp,dai hoc kinh te ky thuat cong nghiep,dai hoc kinh te ky thuat cong nghiep,tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
1046,THPT,trung hoc pho thong,trung hoc pho thong,THPT,trung hoc pho thong,CannotFound
1047,Hanoi Open University,hanoi open university,hanoi open university,Hospitality Management,hospitality management,quan ly benh vien
1048,ĐẠI HỌC TÀI CHÍNH MARKETING,dai hoc tai chinh marketing,dai hoc tai chinh marketing,Tài chính doanh nghiệp,tai chinh doanh nghiep,CannotFound
1049,Trường Trung Học Cơ sở Tri Phú_Chiêm Hóa_Tuyên Quang,trung hoc co so tri phu chiem hoa tuyen quang,trung hoc co so tri phu chiem hoa tuyen quang,Học Sinh,hoc sinh,sinh hoc
1050,Trường Đại học Giao Thông Vận Tải,dai hoc giao thong van tai,dai hoc giao thong van tai,Kinh tế,kinh te,kinh te
1051,Kent,kent,kent,Thiết kế đồ hoạ,thiet ke do hoa,thiet ke do hoa
1052,trường thpt triệu phong,trung hoc pho thong trieu phong,trung hoc pho thong trieu phong,nghệ thuật,nghe thuat,nghe thuat so
1053,THPT trung văn,trung hoc pho thong trung van,trung hoc pho thong trung van,thpt trung văn,trung hoc pho thong trung van,CannotFound
1054,Trường đại học Uef,dai hoc uef,dai hoc uef,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
1055,Trường Tiểu Học Nguyễn Thái Học - Yên Bái,tieu hoc nguyen thai hoc yen bai,tieu hoc nguyen thai hoc yen bai,Trường Cấp 1,cap 1,CannotFound
1056,Trường THCS Lê Hồng Phong - Yên Bái,trung hoc co so le hong phong yen bai,trung hoc co so le hong phong yen bai,Cấp 2,cap 2,CannotFound
1057,Trường THPT Nguyễn Huệ - Yên Bái,trung hoc pho thong nguyen hue yen bai,trung hoc pho thong nguyen hue yen bai,cấp 3,cap 3,CannotFound
1058,Trường Đại Học Lao Động Xã Hội - Hà Nội,dai hoc lao dong xa hoi ha noi,dai hoc lao dong xa hoi ha noi,Trung Cấp Kế Toán,trung cap ke toan,ke toan
1059,dai hoc lao dong xa hoi,dai hoc lao dong xa hoi,dai hoc lao dong xa hoi,diện cong nghiệp,dien cong nghiep,CannotFound
1060,CAO ĐẲNG CNTT ISPACE,cao dang cong nghe thong tin ispace,cao dang cong nghe thong tin ispace,Quản trị mạng,quan tri mang,CannotFound
1061,Cao Đẳng Nghề Thủ Đức,cao dang nghe thu duc,cao dang nghe thu duc,Thiết Kế Đồ Họa,thiet ke do hoa,thiet ke do hoa
1062,Trường Cao Đẳng Kinh Tế Kỹ Thuật Công Nghiệp ll,cao dang kinh te ky thuat cong nghiep ll,cao dang kinh te ky thuat cong nghiep ll,Chế độ tạo máy,che do tao may,CannotFound
1063,Trung Học Phổ Thông Nguyễn Du,trung hoc pho thong nguyen du,trung hoc pho thong nguyen du,Lớp 10,lop 10,CannotFound
1064,Trường Trung Cấp Tổng Hợp Thành Phố Hồ Chí Minh,trung cap tong hop hcm,trung cap tong hop hcm,Quản Trị Du Lịch - Nhà Hàng - Khách Sạn,quan tri du lich nha hang khach san,quan tri du lich khach san
1065,tthcs tan lap,ttrung hoc co so tan lap,ttrung hoc co so tan lap,hc sinh,hc sinh,sinh hoc
1066,tthcs tan lap,ttrung hoc co so tan lap,ttrung hoc co so tan lap,hc sinh,hc sinh,sinh hoc
1067,Đại học Sư phạm Kỹ thuật HCM,dai hoc su pham ky thuat hcm,dai hoc su pham ky thuat hcm,Công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
1068,cao đẳng viễn đông,cao dang vien dong,cao dang vien dong,điều dưỡng,dieu duong,dieu duong
1069,đại học công nghệ tphcm,dai hoc cong nghe hcm,dai hoc cong nghe hcm,quản trị nhà hàng và dịch vụ ăn uống,quan tri nha hang dich vu an uong,quan tri nha hang dich vu an uong
1070,ĐH Nông Lâm TP. HCM,dai hoc nong lam hcm,dai hoc nong lam hcm,kinh tế nông lâm,kinh te nong lam,kinh te
